Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique involves an adversary abusing a legitimate, built-in network administration tool to move laterally within a network in the Enterprise platform?	Remote Desktop Protocol (RDP)	Valid Accounts (T1078)	PowerShell (T1086)	Remote File Copy (T1105)	B	Option B, Valid Accounts (T1078), refers to the technique of adversaries using legitimate credentials to perform actions and blend in with normal activities, making detection challenging. In this context, the abuse of valid accounts allows adversaries to move laterally within a network using existing permissions.
Which MITRE ATT&CK technique involves an attacker taking actions to remain undetected within an environment after gaining unauthorized access?	Process Hollowing (T1055.012)	Obfuscated Files or Information (T1027)	Indicator Removal on Host (T1070.004)	Scripting (T1064)	A	Process Hollowing (T1055.012) is a technique where an attacker creates a new process in a suspended state and replaces its memory space with malicious code to evade detection.
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments that contain malware to target individuals within an organization, exploiting the human factor in cybersecurity?	Initial Access: Spearphishing Attachment	Execution: Command and Scripting Interpreter	Defense Evasion: Masquerading	Exfiltration: Exfiltration Over Command and Control Channel	A	Adversaries often use spearphishing emails with attachments to gain initial access to a target network by exploiting human vulnerabilities. Spearphishing Attachment is specifically designed to trick individuals into opening malicious attachments containing malware.
In the context of MITRE ATT&CK Enterprise techniques, which tactic involves an adversary gaining control of an asset by exploiting vulnerabilities in an external-facing application?	T1059 - Command and Scripting Interpreter		T1190 - Exploit Public-Facing Application	T1210 - Exploitation for Client Execution	T1110 - Brute Force	B
Which MITRE ATT&CK technique involves an adversary using valid accounts to log into a system and access sensitive information without using malware or exploits?	Password Spraying (T1110)	Valid Accounts (T1078)	Valid Accounts (T1078)	Phishing for Information (T1598)	B	Using valid accounts to access sensitive information without malware or exploits is characteristic of the Valid Accounts technique (T1078). Password Spraying (T1110) involves attempting to access a large number of accounts using common passwords, while Phishing for Information (T1598) focuses on tricking targets into providing sensitive information.
Which MITRE ATT&CK technique involves an attacker using email to deliver a malicious attachment containing a payload to the target system?	Spearphishing Attachment	Phishing for Information	Exploit Public-Facing Application	Remote Desktop Protocol (RDP)	Spearphishing Attachment	This question tests the candidate's knowledge of MITRE ATT&CK techniques related to email-based attacks, specifically identifying Spearphishing Attachment (T1566.001) as the technique involving the delivery of a malicious attachment via email.
Which MITRE ATT&CK technique involves an adversary using automated means to discover and exploit vulnerabilities in targets?	Initial Access: Exploit Public-Facing Application (T1190)	Discovery: Automated Collection (T1596)	Execution: Command and Scripting Interpreter (T1059)	Lateral Movement: Windows Admin Shares (T1021.002)	B	Discovery: Automated Collection (T1596)
Which technique from MITRE ATT&CK (Enterprise) involves an attacker using known software vulnerabilities to gain unauthorized access to systems?	Credential Dumping (T1003)	Exploit Public-Facing Application (T1190)	Credential Access (T1001)	Exploitation for Privilege Escalation (T1068)	B	Exploit Public-Facing Application (T1190) fits the scenario described, as it specifically involves targeting known vulnerabilities in public-facing applications to gain unauthorized access. The other options are not directly related to using software vulnerabilities for unauthorized access.
In the context of MITRE ATT&CK with a focus on the Enterprise platform, which technique involves an adversary using valid accounts to log into a system remotely and perform malicious activities?	A. Valid Accounts (T1078) - Default Accounts	B. Remote Services (T1021) - Remote Desktop Protocol	C. Lateral Movement (T1071) - Windows Admin Shares	D. Privilege Escalation (T1068) - Exploitation of Privilege	A	"The correct technique in this scenario is ""Valid Accounts (T1078) - Default Accounts,"" where adversaries use legitimate but previously compromised credentials to access systems remotely and carry out malicious actions"
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary attempting to gain access through a victim's web service by sending a specially crafted request containing malicious code?	T1000 - Execution by Proxy	T1190 - Exploit Public-Facing Application	T1100 - Web Service	T1071 - Application Layer Protocol		B
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary injecting malicious code into a legitimate process using techniques like DLL search order hijacking or process hollowing?	Process Injection (T1055)	Defense Evasion (T1562)	Execution (T1059)	Command and Control (T1102)	A	Process Injection (T1055) covers the action of an adversary injecting malicious code into a legitimate process, leveraging various methods such as DLL search order hijacking or process hollowing. This technique aims to evade defenses and execute unauthorized commands within the compromised system.
Which MITRE ATT&CK technique involves an adversary exploiting a weakness in software to gain control of a system?	Reconnaissance (T1592 - Gather Victim Host Information)	Execution (T1059 - Command-Line Interface)	Defense Evasion (T1070 - Indicator Removal on Host)	Initial Access (T1078 - Valid Accounts)	B	Exploitation (T1203 - Exploitation for Client Execution) involves adversaries taking advantage of vulnerabilities to gain control of systems. Reconnaissance is about gathering victim host information, Execution is related to the use of command-line interfaces, Defense Evasion involves deleting indicators on a host,
